,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175
0,0,5,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,23,28,53.0,59.0,61.0,78.0,82.0,107.0,127.0,129.0,133.0,136.0,145.0,159.0,165.0,197.0,210.0,217.0,221.0,247.0,249.0,258.0,282.0,290.0,291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,27,77,119.0,121.0,135.0,191.0,231.0,238.0,265.0,283.0,299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3,4,6.0,7.0,8.0,9.0,10.0,13.0,15.0,20.0,21.0,22.0,25.0,26.0,29.0,30.0,32.0,33.0,34.0,35.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,46.0,47.0,48.0,49.0,51.0,52.0,54.0,57.0,58.0,60.0,63.0,64.0,65.0,66.0,68.0,69.0,71.0,72.0,75.0,76.0,79.0,80.0,81.0,84.0,88.0,89.0,90.0,95.0,96.0,98.0,100.0,102.0,104.0,105.0,108.0,109.0,110.0,111.0,112.0,113.0,115.0,116.0,117.0,118.0,120.0,122.0,123.0,125.0,128.0,130.0,131.0,132.0,134.0,138.0,139.0,140.0,141.0,142.0,146.0,147.0,148.0,149.0,150.0,151.0,153.0,154.0,155.0,156.0,157.0,158.0,161.0,162.0,166.0,167.0,169.0,170.0,172.0,173.0,174.0,175.0,177.0,178.0,180.0,181.0,182.0,183.0,184.0,190.0,193.0,194.0,196.0,198.0,202.0,203.0,204.0,205.0,207.0,208.0,212.0,213.0,214.0,216.0,219.0,222.0,223.0,224.0,225.0,228.0,230.0,233.0,234.0,235.0,236.0,239.0,240.0,241.0,242.0,243.0,244.0,248.0,250.0,253.0,254.0,255.0,257.0,259.0,260.0,261.0,262.0,263.0,266.0,267.0,268.0,269.0,272.0,274.0,276.0,278.0,281.0,284.0,286.0,289.0,292.0,293.0,294.0,295.0,297.0,298.0
4,12,14,19,45.0,50.0,70.0,74.0,86.0,87.0,93.0,94.0,99.0,101.0,106.0,143.0,160.0,164.0,168.0,171.0,187.0,195.0,199.0,201.0,211.0,220.0,226.0,227.0,229.0,232.0,246.0,251.0,256.0,264.0,275.0,279.0,280.0,285.0,288.0,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,11,18,24.0,31.0,36.0,37.0,55.0,56.0,62.0,67.0,73.0,83.0,85.0,91.0,92.0,97.0,103.0,114.0,124.0,126.0,137.0,144.0,152.0,163.0,176.0,185.0,186.0,188.0,189.0,192.0,200.0,206.0,209.0,215.0,218.0,237.0,245.0,252.0,270.0,271.0,273.0,277.0,287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
